epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,2.43477,41.04607,65.57125,3.95189,19.28000,42.28000
002,1.59455,59.39514,81.78770,1.80243,52.82000,80.68000
003,1.41859,63.63334,84.36153,7.20382,6.78000,24.62000
004,1.31536,66.09591,85.76937,4.90522,18.28000,37.42000
005,1.23259,68.13581,87.06208,4.60537,13.96000,33.62000
006,1.18257,69.31802,87.69646,5.91784,7.98000,30.34000
007,1.11938,70.88272,88.50933,4.03553,27.92000,49.10000
008,1.07152,71.95058,89.11898,6.86544,3.72000,14.30000
009,1.02845,73.10884,89.78735,4.76391,12.32000,27.76000
010,0.99398,73.97812,90.01917,4.91208,13.06000,30.22000
011,0.96165,74.81340,90.54923,4.58821,19.36000,36.96000
012,0.92381,75.79935,90.97421,3.24110,31.02000,53.78000
013,0.89994,76.36650,91.24078,1.48275,63.46000,84.52000
014,0.85981,77.34859,91.78244,5.06169,14.36000,33.66000
015,0.82994,78.15683,92.09924,4.80189,25.00000,47.78000
016,0.80118,78.90633,92.44695,2.99809,39.92000,62.72000
017,0.78237,79.38541,92.71276,3.93643,35.76000,58.10000
018,0.74791,80.25314,93.12383,4.18435,20.98000,44.66000
019,0.72018,80.93929,93.47309,5.86589,16.92000,34.78000
020,0.69783,81.55202,93.68945,2.24171,48.22000,72.88000
021,0.67523,82.17713,93.85325,0.96870,75.04000,90.92000
022,0.65273,82.84242,94.10129,1.21507,70.72000,88.22000
023,0.63692,83.20558,94.27437,0.78298,79.88000,93.39999
024,0.61883,83.71633,94.44050,0.74582,81.00000,93.82000
025,0.60608,83.97364,94.69085,1.97548,60.80000,80.80000
026,0.60234,84.26031,94.64603,0.73204,81.38000,93.89999
027,0.58605,84.64201,94.86084,0.58588,84.30000,95.80000
028,0.58125,84.79037,94.91724,0.58504,84.68000,95.89999
029,0.58444,84.59643,94.75421,0.57825,84.75999,95.66000
030,0.57534,85.02991,94.93347,0.57649,84.92000,95.60000
